Commodity,Category,pH,Moisture_Content,Storage_Temperature,Respiration_Rate,Oxygen_Sensitivity,Moisture_Sensitivity,Light_Sensitivity,Typical_Shelf_Life,Recommended_Packaging,Packaging_Reason,Farmer_Action,
Cabbage,Brassica,5.4–6.8,90–94%,0°C,Low,Low,High,Low,3–6 months,High RH and low temperature slow water loss and decay.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Red cabbage,Brassica,5.4–6.8,90–94%,0°C,Low,Low,High,Low,3–6 months,"Same cold, humid storage requirement as cabbage.","Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Napa cabbage,Brassica,5.4–6.8,93–96%,0°C,Medium,Low,High,Low,1–3 months,High RH prevents leaf wilting.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Savoy cabbage,Brassica,5.4–6.8,90–94%,0°C,Low,Low,High,Low,3–5 months,Limits water loss and decay.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Broccoli,Brassica,6.3–6.5,89–91%,0°C,High,High,High,Low,2–4 weeks,High respiration; rapid cooling and high RH are critical.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Cauliflower,Brassica,5.6–6.5,90–93%,0°C,Medium,Medium,High,Low,2–4 weeks,Maintains moisture while allowing cooling.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Brussels sprouts,Brassica,6.3–6.5,86–90%,0°C,High,Medium,High,Low,3–5 weeks,Rapid cooling and high RH reduce yellowing/wilting.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Kohlrabi,Brassica,5.5–6.5,91–94%,0°C,Medium,Low,High,Low,2–3 months,Reduces moisture loss and maintains crispness.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Broccoli rabe,Brassica,6.0–6.5,88–92%,0°C,High,High,High,Low,1–2 weeks,Leafy tissue loses water quickly.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Chinese broccoli,Brassica,6.0–6.5,88–92%,0°C,High,High,High,Low,1–2 weeks,Rapid cooling and humidity retention are important.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Spinach,Leafy green,5.5–6.8,91–94%,0°C,Very high,High,Very high,Medium,1–2 weeks,Very high respiration and water loss; avoid sealed oxygen-depleted packs.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",,
Lettuce,Leafy green,5.8–6.2,94–96%,0°C,High,High,Very high,Medium,2–3 weeks,High RH and ventilation preserve leaves.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Romaine lettuce,Leafy green,5.8–6.2,94–96%,0°C,High,High,Very high,Medium,2–3 weeks,Rapid water loss and respiration require cooling.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Iceberg lettuce,Leafy green,5.8–6.2,94–96%,0°C,Medium,Medium,High,Medium,2–3 weeks,Maintains humidity and prevents crushing.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Kale,Leafy green,5.5–6.5,84–90%,0°C,High,High,Very high,Medium,1–2 weeks,Limits wilting while permitting gas exchange.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Swiss chard,Leafy green,5.5–6.5,90–94%,0°C,High,High,Very high,Medium,1–2 weeks,Thin leaves lose water rapidly.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Collard greens,Leafy green,5.5–6.5,88–92%,0°C,High,High,High,Medium,1–2 weeks,High humidity slows wilting.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Mustard greens,Leafy green,5.5–6.5,88–93%,0°C,Very high,High,Very high,Medium,1–2 weeks,High respiration and transpiration.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",,
Arugula,Leafy green,5.5–6.5,91–94%,0°C,Very high,High,Very high,Medium,5–10 days,Extremely perishable leafy tissue.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",,
Watercress,Leafy green,5.5–6.5,93–96%,0°C,Very high,High,Very high,Medium,5–10 days,Prevents wilting while avoiding stagnant air.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",,
Amaranth leaves,Leafy green,5.5–6.5,88–93%,0–5°C,Very high,High,Very high,Medium,3–7 days,Rapid wilting and respiration.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",,
Moringa leaves,Leafy green,5.5–6.5,75–85%,8–12°C,Very high,High,High,Medium,3–7 days,Cooling must avoid chilling; retain humidity.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",,
Fenugreek leaves,Leafy green,5.5–6.5,85–92%,0–5°C,High,High,High,Medium,3–7 days,Reduces wilting while allowing gas exchange.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Coriander leaves,Herb,5.5–6.5,85–92%,0°C,High,High,Very high,Medium,1–2 weeks,High RH is needed to prevent wilting.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Parsley,Herb,5.7–6.5,84–90%,0°C,High,High,High,Medium,2–4 weeks,Keeps leaves hydrated while ventilated.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Dill,Herb,5.5–6.5,85–92%,0°C,High,High,High,Medium,1–2 weeks,Thin leaves dehydrate quickly.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Mint,Herb,6.0–7.0,85–92%,0–5°C,High,High,High,Medium,1–2 weeks,Reduces wilting without condensation.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Celery,Stalk vegetable,5.7–6.0,94–96%,0°C,Medium,Medium,High,Low,2–3 months,High RH maintains crispness.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Fennel bulb,Bulb/stem,5.5–6.5,90–94%,0°C,Medium,Low,High,Low,3–8 weeks,Prevents water loss and shriveling.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Tomato,Fruiting vegetable,4.3–4.9,93–95%,10–15°C ripe; 12–20°C green,High,Medium,High,High,1–3 weeks,Avoid chilling; ventilation reduces condensation and bruising.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Cherry tomato,Fruiting vegetable,4.0–4.8,93–95%,10–12°C,High,Medium,High,High,1–2 weeks,Protects delicate fruit and permits airflow.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Green tomato,Fruiting vegetable,4.2–4.9,93–95%,12–20°C,High,Medium,High,Medium,2–4 weeks,Avoid temperatures below chilling threshold.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Bell pepper,Pepper,5.0–5.5,92–95%,7–10°C,Medium,Medium,High,Medium,2–4 weeks,High RH reduces shriveling; avoid chilling.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Chili pepper,Pepper,4.5–6.0,88–92%,7–10°C,High,Medium,High,Medium,1–3 weeks,Retains moisture while allowing respiration.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Jalapeno,Pepper,4.5–6.0,88–92%,7–10°C,High,Medium,High,Medium,1–3 weeks,Reduces shriveling and condensation.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Cucumber,Fruiting vegetable,5.1–5.8,95–96%,10–12.5°C,High,High,High,Medium,<2 weeks,Sensitive to chilling; high RH slows shriveling.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Zucchini,Squash,5.0–5.4,93–95%,7–10°C,High,Medium,High,Medium,1–2 weeks,Avoid chilling; protect from abrasion.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Summer squash,Squash,5.0–5.4,93–95%,7–10°C,High,Medium,High,Medium,1–2 weeks,High humidity preserves firmness.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Eggplant,Fruiting vegetable,4.5–5.5,92–95%,10–12°C,Medium,Medium,High,Medium,1–2 weeks,Avoid chilling injury and dehydration.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Okra,Fruiting vegetable,5.5–6.5,89–92%,7–10°C,Very high,High,High,Medium,7–10 days,Highly perishable and prone to moisture loss.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",,
Pumpkin,Winter squash,4.9–5.5,90–93%,10–15°C,Low,Low,Medium,Low,2–6 months,Curing and dry airflow reduce decay.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Butternut squash,Winter squash,5.0–5.5,86–90%,10–15°C,Low,Low,Medium,Low,2–6 months,Avoid condensation; cured skin supports long storage.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Acorn squash,Winter squash,5.0–5.5,86–90%,10–15°C,Low,Low,Medium,Low,1–3 months,Protects cured surface and avoids moisture buildup.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Bitter gourd,Gourd,5.0–6.0,92–95%,10–12°C,High,High,High,Medium,1–2 weeks,Prevents shriveling but allows gas exchange.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Bottle gourd,Gourd,5.0–6.0,92–95%,10–13°C,Medium,Medium,High,Medium,2–3 weeks,Protects from bruising and water loss.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Ridge gourd,Gourd,5.0–6.0,90–94%,10–13°C,High,High,High,Medium,1–2 weeks,High water content requires moisture retention.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Snake gourd,Gourd,5.0–6.0,90–94%,10–13°C,High,High,High,Medium,1–2 weeks,Avoid chilling and dehydration.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Chayote,Fruiting vegetable,5.5–6.5,90–94%,7–10°C,Medium,Medium,High,Low,1–2 months,Reduces mechanical damage and dehydration.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Tomatillo,Fruiting vegetable,3.8–4.5,90–94%,7–10°C,Medium,Medium,High,Medium,2–4 weeks,Husk offers protection; avoid excess condensation.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Green beans,Legume vegetable,5.6–6.5,90–93%,5–7°C,High,High,High,Low,7–14 days,Rapid respiration; high RH reduces shriveling.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
French beans,Legume vegetable,5.6–6.5,90–93%,5–7°C,High,High,High,Low,7–14 days,Avoid chilling while maintaining humidity.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Snap beans,Legume vegetable,5.6–6.5,90–93%,5–10°C,High,High,High,Low,7–14 days,High respiration and water loss.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Snow peas,Legume vegetable,5.8–6.5,90–95%,0–2°C,Very high,High,High,Low,1–2 weeks,Very high respiration; rapid cooling helps.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",,
Sugar snap peas,Legume vegetable,5.8–6.5,90–95%,0–2°C,Very high,High,High,Low,1–2 weeks,High respiration and water loss.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",,
Green peas,Legume vegetable,5.8–6.5,72–80%,0–2°C,Very high,High,Medium,Low,1–2 weeks,Rapid quality loss; rapid cooling is important.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",,
Broad beans,Legume vegetable,5.8–6.5,70–80%,0–5°C,High,Medium,Medium,Low,1–3 weeks,Limits bruising and permits cooling.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Lima beans,Legume vegetable,5.6–6.5,65–75%,4–7°C,High,High,Medium,Low,1–2 weeks,Avoid chilling and excessive water loss.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Edamame,Legume vegetable,6.0–6.5,68–72%,0–4°C,Very high,High,Medium,Low,5–10 days,Rapid respiration; cool immediately.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",,
Fresh chickpeas,Legume vegetable,6.0–6.5,60–70%,0–5°C,High,Medium,Medium,Low,1–2 weeks,Protects tender pods and reduces condensation.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Asparagus,Shoot,6.0–6.7,92–95%,0–2°C,Very high,High,Very high,Low,1–2 weeks,Extremely high respiration; rapid cooling and humidity retention.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",,
Artichoke,Flower vegetable,5.5–6.0,80–85%,0°C,High,High,High,Low,2–4 weeks,High RH limits browning and wilting.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Sweet corn,Cereal vegetable,5.9–7.3,70–75%,0°C,Very high,High,Medium,Low,5–10 days,Very rapid sugar loss; immediate cooling is critical.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",,
Bamboo shoots,Shoot,5.5–6.5,90–95%,2–5°C,High,Medium,High,Low,1–3 weeks,High moisture and respiration require cooling.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Mushroom,Fungi,6.0–7.0,90–95%,0–2°C,High,High,Very high,High,5–10 days,Needs high humidity but must avoid free water and oxygen depletion.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Button mushroom,Fungi,6.0–7.0,90–95%,0–2°C,High,High,Very high,High,5–10 days,Reduces dehydration while allowing gas exchange.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Shiitake mushroom,Fungi,5.5–6.5,85–92%,0–4°C,Medium,Medium,High,High,1–2 weeks,Protects delicate caps and controls moisture.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Enoki mushroom,Fungi,5.5–6.5,90–95%,0–4°C,High,High,High,Low,1–2 weeks,Needs high humidity but adequate gas exchange.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Leek,Allium,5.5–6.5,83–90%,0°C,Low,Low,High,Low,2–3 months,High RH maintains firmness and reduces wilting.,"Sort damaged produce, maintain recommended temperature/RH, and provide airflow.",,
Green onion,Allium,5.5–6.5,88–93%,0°C,High,High,High,Low,1–3 weeks,Leaves lose water rapidly.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Bulb onion,Allium,5.3–5.8,85–90%,0–2°C after curing,Low,Low,Low,High,4–8 months,Needs curing and dry airflow; light can promote sprouting/quality issues.,"Cure/dry properly, remove damaged produce, keep cool and well ventilated.",,
Red onion,Allium,5.3–5.8,85–90%,0–2°C after curing,Low,Low,Low,High,3–6 months,Dry ventilation is more important than moisture retention.,"Cure/dry properly, remove damaged produce, keep cool and well ventilated.",,
Garlic,Allium,5.5–6.5,60–70%,0–2°C for storage,Low,Low,Low,Low,4–8 months,Low humidity and airflow reduce mold and sprouting.,"Cure/dry properly, remove damaged produce, keep cool and well ventilated.",,
Shallot,Allium,5.5–6.5,70–80%,0–2°C,Low,Low,Low,Low,3–6 months,Avoid condensation and retain dry outer scales.,"Cure/dry properly, remove damaged produce, keep cool and well ventilated.",,
Watercress,Leafy green,5.5–6.5,93–96%,0°C,Very high,High,Very high,Medium,5–10 days,Very rapid water loss.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",,
Endive,Leafy green,5.5–6.5,94–96%,0°C,High,High,Very high,Low,2–3 weeks,Maintains crispness and prevents wilting.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Escarole,Leafy green,5.5–6.5,94–96%,0°C,High,High,Very high,Low,1–2 weeks,High humidity protects leaves.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Sorrel,Leafy green,5.5–6.5,88–94%,0–5°C,High,High,High,Medium,5–10 days,Tender leaves dehydrate rapidly.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",,
Turnip greens,Leafy green,5.5–6.5,90–94%,0°C,Very high,High,Very high,Medium,5–10 days,Perforated high-RH bag,High surface area causes rapid water loss.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",
Beet greens,Leafy green,5.5–6.5,90–94%,0°C,Very high,High,Very high,Medium,5–10 days,Perforated high-RH bag,Needs immediate cooling and high humidity.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",
Radish greens,Leafy green,5.5–6.5,90–94%,0°C,Very high,High,Very high,Medium,5–10 days,Perforated high-RH bag,High transpiration; remove field heat quickly.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",
Pea shoots,Leafy/young shoot,5.8–6.5,88–94%,0–5°C,Very high,High,Very high,Medium,3–7 days,Perforated high-RH pack,"Very tender, high respiration tissue.","Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",
Mustard greens,Leafy green,5.5–6.5,88–93%,0°C,Very high,High,Very high,Medium,5–10 days,Perforated high-RH bag,Rapid wilting and respiration.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",
Bok choy,Brassica leafy,5.5–6.5,95–97%,0°C,High,High,Very high,Low,2–3 weeks,Perforated liner + carton,High RH maintains crisp stems/leaves.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",
Kohlrabi greens,Leafy/brassica,5.5–6.5,90–94%,0°C,High,High,High,Medium,5–10 days,Perforated high-RH bag,Leafy material loses water rapidly.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",
Rapini,Brassica leafy,5.5–6.5,88–92%,0°C,Very high,High,Very high,Medium,5–10 days,Perforated high-RH bag,Very high respiration and water loss.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",
Romanesco,Brassica,5.5–6.5,90–94%,0°C,High,High,High,Low,2–4 weeks,Vented carton + liner,Cold and high RH slow yellowing and decay.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",
Broccoli sprouts,Sprouts,6.0–6.5,90–95%,0–5°C,Very high,High,Very high,Low,3–7 days,Breathable food-grade tray,Very high respiration; avoid oxygen depletion.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",
Bean sprouts,Sprouts,6.0–7.0,90–95%,0–5°C,Very high,High,Very high,Low,3–7 days,Perforated chilled pack,High respiration and microbial risk require rapid cooling.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",
Alfalfa sprouts,Sprouts,6.0–7.0,90–95%,0–5°C,Very high,High,Very high,Low,3–7 days,Perforated chilled pack,Highly perishable; maintain cold chain.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",
Mustard sprouts,Sprouts,5.5–6.5,90–95%,0–5°C,Very high,High,Very high,Low,3–7 days,Perforated chilled pack,Rapid respiration and moisture loss.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",
Mung bean sprouts,Sprouts,6.0–7.0,90–95%,0–5°C,Very high,High,Very high,Low,3–7 days,Perforated chilled pack,Requires rapid cooling and sanitary handling.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",
Water spinach,Leafy green,5.5–6.5,90–95%,0–5°C,Very high,High,Very high,Medium,3–7 days,Perforated high-RH bag,Tender stems and leaves wilt rapidly.,"Pre-cool as soon as possible, keep cold, avoid airtight packaging, and maintain hygiene.",
Sweet potato leaves,Leafy green,5.5–6.5,88–94%,8–12°C,High,High,Very high,Medium,3–7 days,Perforated high-RH bag,Avoid chilling while retaining moisture.,"Remove field heat quickly, maintain recommended temperature/RH, and avoid bruising.",
Rice,Cereals & grains,6.0–6.8,11–14%,15–25°C,Low,Medium–High,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Brown rice,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Basmati rice,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Jasmine rice,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Parboiled rice,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Glutinous rice,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Wild rice,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Black rice,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Red rice,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Corn grain,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Sweet corn grain,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Popcorn,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Sorghum,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Pearl millet,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
Finger millet,Cereals & grains,5.5–7.0,8–14%,10–25°C,Low,Medium,High,Medium,6–18 months,Hermetic food-grade bag / multilayer liner,Controls moisture and insect/oxygen exposure during dry storage.,Dry to a safe grain moisture level before storage; remove damaged grain and keep the store clean and dry.,
